time,packet_uid,from_holder,to_holder,selected_edge,cum_hops
1600,1600:13565:packet0,veh874,veh895,-26237662#0,1
1600,1600:13565:packet1,veh874,veh895,-26237662#0,1
1600,1600:13565:packet2,veh874,veh895,-26237662#0,1
1600,1600:13565:packet3,veh874,veh895,-26237662#0,1
1600,1600:13565:packet4,veh874,veh895,-26237662#0,1
1600,1600:13565:packet5,veh874,veh895,-26237662#0,1
1600,1600:13566:packet0,veh811,veh904,-157801834#2,1
1600,1600:13566:packet1,veh811,veh904,-157801834#2,1
1600,1600:13566:packet2,veh811,veh904,-157801834#2,1
1600,1600:13566:packet3,veh811,veh904,-157801834#2,1
1600,1600:13566:packet4,veh811,veh904,-157801834#2,1
1600,1600:13566:packet5,veh811,veh904,-157801834#2,1
1600,1600:13567:packet0,veh887,veh852,157801814#1,1
1600,1600:13567:packet0,veh852,veh842,-157801814#1,2
1600,1600:13567:packet0,veh842,veh831,157801814#1,3
1600,1600:13567:packet0,veh831,veh894,-231406564#0,4
1600,1600:13567:packet0,veh894,veh828,:cluster_6621539965_6621539966_1,5
1600,1600:13567:packet1,veh887,veh835,157801814#1,1
1600,1600:13567:packet1,veh835,veh831,-157801814#1,2
1600,1600:13567:packet1,veh831,veh843,-231406564#0,3
1600,1600:13567:packet1,veh843,veh797,-787217955#0,4
1600,1600:13567:packet2,veh887,veh852,157801814#1,1
1600,1600:13567:packet2,veh852,veh842,-157801814#1,2
1600,1600:13567:packet2,veh842,veh831,157801814#1,3
1600,1600:13567:packet2,veh831,veh894,-231406564#0,4
1600,1600:13567:packet2,veh894,veh828,:cluster_6621539965_6621539966_1,5
1600,1600:13567:packet3,veh887,veh835,157801814#1,1
1600,1600:13567:packet3,veh835,veh842,-157801814#1,2
1600,1600:13567:packet3,veh842,veh831,157801814#1,3
1600,1600:13567:packet3,veh831,veh843,-231406564#0,4
1600,1600:13567:packet3,veh843,veh797,-787217955#0,5
1600,1600:13567:packet4,veh887,veh852,157801814#1,1
1600,1600:13567:packet4,veh852,veh842,-157801814#1,2
1600,1600:13567:packet4,veh842,veh831,157801814#1,3
1600,1600:13567:packet4,veh831,veh894,-231406564#0,4
1600,1600:13567:packet4,veh894,veh828,:cluster_6621539965_6621539966_1,5
1600,1600:13567:packet5,veh887,veh835,157801814#1,1
1600,1600:13567:packet5,veh835,veh842,-157801814#1,2
1600,1600:13567:packet5,veh842,veh831,157801814#1,3
1600,1600:13567:packet5,veh831,veh843,-231406564#0,4
1600,1600:13567:packet5,veh843,veh797,-787217955#0,5
1600,1600:13567:packet6,veh887,veh852,157801814#1,1
1600,1600:13567:packet6,veh852,veh842,-157801814#1,2
1600,1600:13567:packet6,veh842,veh831,157801814#1,3
1600,1600:13567:packet6,veh831,veh894,-231406564#0,4
1600,1600:13567:packet6,veh894,veh828,:cluster_6621539965_6621539966_1,5
1600,1600:13567:packet7,veh887,veh835,157801814#1,1
1600,1600:13567:packet7,veh835,veh842,-157801814#1,2
1600,1600:13567:packet7,veh842,veh831,157801814#1,3
1600,1600:13567:packet7,veh831,veh843,-231406564#0,4
1600,1600:13567:packet7,veh843,veh797,-787217955#0,5
1600,1600:13568:packet0,veh820,veh860,1030469072#1,1
1600,1600:13568:packet0,veh860,veh786,56699014#0,2
