packet_uid,message_id,packet_name,source,dest,start_time,delivered,dropped,delivery_time,delay_seconds,hops,path
1600:13580:packet0,13580,packet0,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet1,13580,packet1,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet2,13580,packet2,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet3,13580,packet3,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet4,13580,packet4,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet5,13580,packet5,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet6,13580,packet6,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet7,13580,packet7,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1600:13580:packet8,13580,packet8,veh863,veh862,1600,True,False,1601,1,2,veh863->veh786->veh862
1601:13616:packet0,13616,packet0,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet1,13616,packet1,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet2,13616,packet2,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet3,13616,packet3,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet4,13616,packet4,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet5,13616,packet5,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet6,13616,packet6,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13616:packet7,13616,packet7,veh772,veh875,1601,True,False,1601,0,1,veh772->veh875
1601:13622:packet0,13622,packet0,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet1,13622,packet1,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet2,13622,packet2,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet3,13622,packet3,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet4,13622,packet4,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet5,13622,packet5,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet6,13622,packet6,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet7,13622,packet7,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet8,13622,packet8,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1601:13622:packet9,13622,packet9,veh820,veh815,1601,True,False,1601,0,1,veh820->veh815
1600:13573:packet0,13573,packet0,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet1,13573,packet1,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet2,13573,packet2,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet3,13573,packet3,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet4,13573,packet4,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet5,13573,packet5,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet6,13573,packet6,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet7,13573,packet7,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1600:13573:packet8,13573,packet8,veh899,veh736,1600,True,False,1602,2,2,veh899->veh889->veh736
1602:13628:packet0,13628,packet0,veh843,veh831,1602,True,False,1602,0,1,veh843->veh831
1602:13628:packet1,13628,packet1,veh843,veh831,1602,True,False,1602,0,1,veh843->veh831
1602:13628:packet2,13628,packet2,veh843,veh831,1602,True,False,1602,0,1,veh843->veh831
1602:13628:packet3,13628,packet3,veh843,veh831,1602,True,False,1602,0,1,veh843->veh831
1602:13633:packet0,13633,packet0,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet1,13633,packet1,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet2,13633,packet2,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet3,13633,packet3,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet4,13633,packet4,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet5,13633,packet5,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13633:packet6,13633,packet6,veh842,veh831,1602,True,False,1602,0,1,veh842->veh831
1602:13636:packet0,13636,packet0,veh805,veh789,1602,True,False,1602,0,1,veh805->veh789
1602:13636:packet1,13636,packet1,veh805,veh789,1602,True,False,1602,0,1,veh805->veh789
1602:13636:packet2,13636,packet2,veh805,veh789,1602,True,False,1602,0,1,veh805->veh789
1600:13592:packet0,13592,packet0,veh886,veh843,1600,True,False,1603,3,11,veh886->veh891->veh863->veh786->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet1,13592,packet1,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet2,13592,packet2,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet3,13592,packet3,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet4,13592,packet4,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet5,13592,packet5,veh886,veh843,1600,True,False,1603,3,11,veh886->veh891->veh863->veh786->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet6,13592,packet6,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet7,13592,packet7,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet8,13592,packet8,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1600:13592:packet9,13592,packet9,veh886,veh843,1600,True,False,1603,3,12,veh886->veh891->veh863->veh786->veh862->veh860->veh820->veh856->veh808->veh887->veh842->veh831->veh843
1603:13647:packet0,13647,packet0,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet1,13647,packet1,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet2,13647,packet2,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet3,13647,packet3,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet4,13647,packet4,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet5,13647,packet5,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet6,13647,packet6,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1603:13647:packet7,13647,packet7,veh815,veh847,1603,True,False,1603,0,1,veh815->veh847
1601:13601:packet0,13601,packet0,veh852,veh844,1601,True,False,1604,3,6,veh852->veh842->veh831->veh894->veh828->veh843->veh844
1601:13601:packet1,13601,packet1,veh852,veh844,1601,True,False,1604,3,6,veh852->veh842->veh831->veh894->veh828->veh843->veh844
1601:13601:packet2,13601,packet2,veh852,veh844,1601,True,False,1604,3,6,veh852->veh842->veh831->veh894->veh828->veh843->veh844
1601:13601:packet3,13601,packet3,veh852,veh844,1601,True,False,1604,3,6,veh852->veh842->veh831->veh894->veh828->veh843->veh844
1601:13621:packet0,13621,packet0,veh843,veh902,1601,True,False,1604,3,5,veh843->veh828->veh844->veh855->veh879->veh902
1601:13621:packet1,13621,packet1,veh843,veh902,1601,True,False,1604,3,5,veh843->veh828->veh844->veh855->veh879->veh902
1601:13621:packet2,13621,packet2,veh843,veh902,1601,True,False,1604,3,5,veh843->veh828->veh844->veh855->veh879->veh902
1604:13682:packet0,13682,packet0,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet1,13682,packet1,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet2,13682,packet2,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet3,13682,packet3,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet4,13682,packet4,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet5,13682,packet5,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet6,13682,packet6,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet7,13682,packet7,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13682:packet8,13682,packet8,veh792,veh795,1604,True,False,1604,0,1,veh792->veh795
1604:13667:packet0,13667,packet0,veh887,veh855,1604,True,False,1605,1,6,veh887->veh842->veh831->veh843->veh828->veh844->veh855
1604:13667:packet1,13667,packet1,veh887,veh855,1604,True,False,1605,1,8,veh887->veh842->veh797->veh831->veh894->veh843->veh828->veh844->veh855
1604:13667:packet2,13667,packet2,veh887,veh855,1604,True,False,1605,1,7,veh887->veh842->veh797->veh831->veh894->veh843->veh836->veh855
1604:13667:packet3,13667,packet3,veh887,veh855,1604,True,False,1605,1,8,veh887->veh842->veh797->veh831->veh894->veh843->veh828->veh844->veh855
1604:13667:packet4,13667,packet4,veh887,veh855,1604,True,False,1605,1,8,veh887->veh842->veh797->veh831->veh894->veh843->veh828->veh844->veh855
1604:13667:packet5,13667,packet5,veh887,veh855,1604,True,False,1605,1,8,veh887->veh842->veh797->veh831->veh894->veh843->veh828->veh844->veh855
1604:13667:packet6,13667,packet6,veh887,veh855,1604,True,False,1605,1,8,veh887->veh842->veh797->veh831->veh894->veh843->veh828->veh844->veh855
