,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,100,[0. 0. 1.],49,0,3.0,32.68333333333333,0.11056594619846218,32.68333333333333
1,no,100,[0.  0.1 0.9],49,0,3.0,32.68333333333333,0.11056594619846218,32.68333333333333
2,no,100,[0.  0.2 0.8],49,0,3.0,32.766666666666666,0.12214026781515555,32.766666666666666
3,no,100,[0.  0.3 0.7],49,0,3.0,32.666666666666664,0.1221319493627746,32.666666666666664
4,no,100,[0.  0.4 0.6],49,0,3.0,32.666666666666664,0.1221319493627746,32.666666666666664
5,no,100,[0.  0.5 0.5],49,0,2.966666666666667,32.61666666666667,0.12401720402580704,32.61666666666667
6,no,100,[0.  0.6 0.4],49,0,2.966666666666667,32.61666666666667,0.12401720402580704,32.61666666666667
7,no,100,[0.  0.7 0.3],49,0,2.95,32.666666666666664,0.12399036402911051,32.666666666666664
8,no,100,[0.  0.8 0.2],49,0,2.95,32.666666666666664,0.12171763675638324,32.666666666666664
9,no,100,[0.  0.9 0.1],49,0,2.95,32.666666666666664,0.12171763675638324,32.666666666666664
10,no,100,[0. 1. 0.],49,0,3.0,31.983333333333334,0.1251355507678117,31.983333333333334
11,no,100,[0.1 0.  0.9],49,0,3.0,32.68333333333333,0.11056594619846218,32.68333333333333
12,no,100,[0.1 0.1 0.8],49,0,2.966666666666667,32.61666666666667,0.11074819193626348,32.61666666666667
13,no,100,[0.1 0.2 0.7],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
14,no,100,[0.1 0.3 0.6],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
15,no,100,[0.1 0.4 0.5],49,0,3.0,32.3,0.12509709383296957,32.3
16,no,100,[0.1 0.5 0.4],49,0,3.0,32.3,0.12509709383296957,32.3
17,no,100,[0.1 0.6 0.3],49,0,3.0,32.3,0.12509709383296957,32.3
18,no,100,[0.1 0.7 0.2],49,0,2.9833333333333334,32.35,0.12279752656354578,32.35
19,no,100,[0.1 0.8 0.1],49,0,2.9833333333333334,32.35,0.12279752656354578,32.35
20,no,100,[0.1 0.9 0. ],49,0,3.0,31.983333333333334,0.1251355507678117,31.983333333333334
21,no,100,[0.2 0.  0.8],49,0,3.0,32.3,0.1118480797028179,32.3
22,no,100,[0.2 0.1 0.7],49,0,3.0,32.3,0.1118480797028179,32.3
23,no,100,[0.2 0.2 0.6],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
24,no,100,[0.2 0.3 0.5],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
25,no,100,[0.2 0.4 0.4],49,0,3.0,32.3,0.12509709383296957,32.3
26,no,100,[0.2 0.5 0.3],49,0,3.0,32.3,0.12509709383296957,32.3
27,no,100,[0.2 0.6 0.2],49,0,2.9833333333333334,32.35,0.12507025383627304,32.35
28,no,100,[0.2 0.7 0.1],49,0,2.9833333333333334,32.35,0.12279752656354578,32.35
29,no,100,[0.2 0.8 0. ],49,0,3.0,31.983333333333334,0.1251355507678117,31.983333333333334
30,no,100,[0.3 0.  0.7],49,0,3.0,32.3,0.1118480797028179,32.3
31,no,100,[0.3 0.1 0.6],49,0,3.0,32.3,0.12226474636948456,32.3
32,no,100,[0.3 0.2 0.5],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
33,no,100,[0.3 0.3 0.4],49,0,3.033333333333333,32.35,0.12321183916993712,32.35
34,no,100,[0.3 0.4 0.3],49,0,3.0,32.3,0.12509709383296957,32.3
35,no,100,[0.3 0.5 0.2],49,0,2.9833333333333334,32.35,0.12536350896823786,32.35
36,no,100,[0.3 0.6 0.1],49,0,2.9833333333333334,32.35,0.12536350896823786,32.35
37,no,100,[0.3 0.7 0. ],49,0,3.0,31.983333333333334,0.1254398721311714,31.983333333333334
38,no,100,[0.4 0.  0.6],49,0,3.0,32.3,0.11178635130775617,32.3
39,no,100,[0.4 0.1 0.5],49,0,3.0,32.3,0.12226474636948456,32.3
40,no,100,[0.4 0.2 0.4],49,0,3.033333333333333,32.35,0.12350509430190193,32.35
