rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval
no,100,[0. 0. 1.],49,5,2.4,35.0,0.41123441833510327
no,100,[0.  0.1 0.9],49,5,2.4,35.0,0.41123441833510327
no,100,[0.  0.2 0.8],49,5,2.3833333333333333,35.2,0.42053689121005877
no,100,[0.  0.3 0.7],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.  0.4 0.6],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.  0.5 0.5],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.  0.6 0.4],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.  0.7 0.3],49,5,2.3833333333333333,34.9,0.4042965811325395
no,100,[0.  0.8 0.2],49,5,2.3833333333333333,34.9,0.40381047002142834
no,100,[0.  0.9 0.1],49,5,2.3833333333333333,34.9,0.40381047002142834
no,100,[0. 1. 0.],49,5,2.433333333333333,34.96666666666667,0.413444382705069
no,100,[0.1 0.  0.9],49,5,2.4,35.0,0.41123441833510327
no,100,[0.1 0.1 0.8],49,5,2.4,35.0,0.41123441833510327
no,100,[0.1 0.2 0.7],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.1 0.3 0.6],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.1 0.4 0.5],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.1 0.5 0.4],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.1 0.6 0.3],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.1 0.7 0.2],49,5,2.3833333333333333,34.9,0.40381047002142834
no,100,[0.1 0.8 0.1],49,5,2.3833333333333333,34.9,0.40381047002142834
no,100,[0.1 0.9 0. ],49,5,2.433333333333333,34.96666666666667,0.413444382705069
no,100,[0.2 0.  0.8],49,5,2.4,35.0,0.41123441833510327
no,100,[0.2 0.1 0.7],49,5,2.4,35.0,0.41123441833510327
no,100,[0.2 0.2 0.6],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.2 0.3 0.5],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.2 0.4 0.4],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.2 0.5 0.3],49,5,2.3833333333333333,34.9,0.40987338979843135
no,100,[0.2 0.6 0.2],49,5,2.3833333333333333,34.9,0.4042965811325395
no,100,[0.2 0.7 0.1],49,5,2.3833333333333333,34.9,0.40381047002142834
no,100,[0.2 0.8 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.3 0.  0.7],49,5,2.4,35.0,0.41123441833510327
no,100,[0.3 0.1 0.6],49,5,2.4,35.0,0.41123441833510327
no,100,[0.3 0.2 0.5],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.3 0.3 0.4],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.3 0.4 0.3],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.3 0.5 0.2],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.3 0.6 0.1],49,5,2.3833333333333333,34.9,0.4034632477992062
no,100,[0.3 0.7 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.4 0.  0.6],49,5,2.4,35.0,0.41123441833510327
no,100,[0.4 0.1 0.5],49,5,2.4,35.0,0.41123441833510327
no,100,[0.4 0.2 0.4],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.4 0.3 0.3],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.4 0.4 0.2],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.4 0.5 0.1],49,5,2.3833333333333333,35.2,0.40985546782824567
no,100,[0.4 0.6 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.5 0.  0.5],49,5,2.4,35.0,0.41123441833510327
no,100,[0.5 0.1 0.4],49,5,2.3833333333333333,35.2,0.42053689121005877
no,100,[0.5 0.2 0.3],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.5 0.3 0.2],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.5 0.4 0.1],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.5 0.5 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.6 0.  0.4],49,5,2.4,35.0,0.41123441833510327
no,100,[0.6 0.1 0.3],49,5,2.3833333333333333,35.2,0.42053689121005877
no,100,[0.6 0.2 0.2],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.6 0.3 0.1],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.6 0.4 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.7 0.  0.3],49,5,2.4,35.0,0.41123441833510327
no,100,[0.7 0.1 0.2],49,5,2.3833333333333333,35.2,0.41626605787672544
no,100,[0.7 0.2 0.1],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[0.7 0.3 0. ],49,5,2.433333333333333,34.96666666666667,0.41307888562904566
no,100,[0.8 0.  0.2],49,5,2.4,35.0,0.41123441833510327
no,100,[0.8 0.1 0.1],49,5,2.3833333333333333,35.2,0.4157799467656143
no,100,[ 0.8  0.2 -0. ],49,5,2.433333333333333,34.96666666666667,0.4190726225442751
no,100,[0.9 0.  0.1],49,5,2.4,35.0,0.41123441833510327
no,100,[ 0.9  0.1 -0. ],49,5,2.433333333333333,34.96666666666667,0.4190726225442751
no,100,[1. 0. 0.],49,5,2.433333333333333,34.96666666666667,0.423452964424617
