rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval
yes,300,[0. 0. 1.],49,7,1.333333333,15.63333333,0.586529381
yes,300,[0.  0.1 0.9],49,7,1.333333333,15.63333333,0.580708009
yes,300,[0.  0.2 0.8],49,7,1.333333333,16.41666667,0.574080329
yes,300,[0.  0.3 0.7],49,7,1.333333333,16.41666667,0.585776235
yes,300,[0.  0.4 0.6],49,7,1.333333333,16.41666667,0.585776235
yes,300,[0.  0.5 0.5],49,7,1.333333333,16.41666667,0.563098417
yes,300,[0.  0.6 0.4],49,7,1.333333333,16.41666667,0.561051633
yes,300,[0.  0.7 0.3],49,7,1.333333333,16.41666667,0.562538828
yes,300,[0.  0.8 0.2],49,7,1.516666667,16.51666667,0.559345255
yes,300,[0.  0.9 0.1],49,7,1.516666667,16.26666667,0.58225654
yes,300,[0. 1. 0.],49,7,1.516666667,16.31666667,0.57976225
yes,300,[0.1 0.  0.9],49,7,1.333333333,15.63333333,0.583605404
yes,300,[0.1 0.1 0.8],49,7,1.333333333,15.63333333,0.580708009
yes,300,[0.1 0.2 0.7],49,7,1.333333333,16.41666667,0.574080329
yes,300,[0.1 0.3 0.6],49,7,1.333333333,16.41666667,0.574080329
yes,300,[0.1 0.4 0.5],49,7,1.333333333,16.41666667,0.565308399
yes,300,[0.1 0.5 0.4],49,7,1.333333333,16.41666667,0.563846411
yes,300,[0.1 0.6 0.3],49,7,1.333333333,16.41666667,0.561051633
yes,300,[0.1 0.7 0.2],49,7,1.333333333,16.41666667,0.56104029
yes,300,[0.1 0.8 0.1],49,7,1.516666667,16.26666667,0.582915674
yes,300,[0.1 0.9 0. ],49,7,1.516666667,16.31666667,0.582022137
yes,300,[0.2 0.  0.8],49,7,1.333333333,15.63333333,0.583605404
yes,300,[0.2 0.1 0.7],49,7,1.333333333,15.63333333,0.580708009
yes,300,[0.2 0.2 0.6],49,7,1.333333333,16.41666667,0.574080329
yes,300,[0.2 0.3 0.5],49,7,1.333333333,16.41666667,0.574080329
yes,300,[0.2 0.4 0.4],49,7,1.333333333,16.41666667,0.560885884
yes,300,[0.2 0.5 0.3],49,7,1.333333333,16.41666667,0.54772799
yes,300,[0.2 0.6 0.2],49,7,1.333333333,16.41666667,0.561788284
yes,300,[0.2 0.7 0.1],49,7,1.333333333,16.16666667,0.58584994
yes,300,[0.2 0.8 0. ],49,7,1.333333333,16.21666667,0.584749427
yes,300,[0.3 0.  0.7],49,7,1.333333333,15.63333333,0.582728211
yes,300,[0.3 0.1 0.6],49,7,1.333333333,15.63333333,0.580708009
yes,300,[0.3 0.2 0.5],49,7,1.333333333,16.41666667,0.572581791
yes,300,[0.3 0.3 0.4],49,7,1.333333333,16.41666667,0.563809861
yes,300,[0.3 0.4 0.3],49,7,1.333333333,16.41666667,0.550651966
yes,300,[0.3 0.5 0.2],49,7,1.333333333,16.41666667,0.548605183
yes,300,[0.3 0.6 0.1],49,7,1.333333333,16.41666667,0.550092378
yes,300,[0.3 0.7 0. ],49,7,1.333333333,16.21666667,0.573255174
yes,300,[0.4 0.  0.6],49,7,1.333333333,15.63333333,0.582728211
yes,300,[0.4 0.1 0.5],49,7,1.333333333,15.63333333,0.578027697
yes,300,[0.4 0.2 0.4],49,7,1.333333333,16.41666667,0.572581791
yes,300,[0.4 0.3 0.3],49,7,1.333333333,16.41666667,0.560885884
yes,300,[0.4 0.4 0.2],49,7,1.333333333,16.41666667,0.549189978
yes,300,[0.4 0.5 0.1],49,7,1.333333333,16.41666667,0.548630389
yes,300,[0.4 0.6 0. ],49,7,1.333333333,16.21666667,0.57255349
yes,300,[0.5 0.  0.5],49,7,1.333333333,15.63333333,0.573079088
yes,300,[0.5 0.1 0.4],49,7,1.333333333,15.63333333,0.568378575
yes,300,[0.5 0.2 0.3],49,7,1.333333333,16.41666667,0.562347873
yes,300,[0.5 0.3 0.2],49,7,1.333333333,16.41666667,0.559423896
yes,300,[0.5 0.4 0.1],49,7,1.333333333,16.41666667,0.550677173
yes,300,[0.5 0.5 0. ],49,7,1.333333333,16.21666667,0.57255349
yes,300,[0.6 0.  0.4],49,7,1.333333333,15.63333333,0.578927042
yes,300,[0.6 0.1 0.3],49,7,1.333333333,16.41666667,0.558546703
yes,300,[0.6 0.2 0.2],49,7,1.333333333,16.41666667,0.555622727
yes,300,[0.6 0.3 0.1],49,7,1.333333333,16.41666667,0.555037931
yes,300,[0.6 0.4 0. ],49,7,1.333333333,16.21666667,0.565944294
yes,300,[0.7 0.  0.3],49,7,1.333333333,15.63333333,0.578927042
yes,300,[0.7 0.1 0.2],49,7,1.333333333,16.41666667,0.555622727
yes,300,[0.7 0.2 0.1],49,7,1.333333333,16.41666667,0.555622727
yes,300,[0.7 0.3 0. ],49,7,1.333333333,16.21666667,0.571691421
yes,300,[0.8 0.  0.2],49,7,1.333333333,15.63333333,0.578927042
yes,300,[0.8 0.1 0.1],49,7,1.333333333,16.41666667,0.564394656
yes,300,[ 0.8  0.2 -0. ],49,7,1.333333333,16.21666667,0.57080458
yes,300,[0.9 0.  0.1],49,7,1.333333333,15.63333333,0.580074481
yes,300,[ 0.9  0.1 -0. ],49,7,1.333333333,16.46666667,0.572046765
yes,300,[1. 0. 0.],49,7,1.333333333,15.68333333,0.57018273
