,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,300,[0. 0. 1.],49,5,2,15,0.3999596566964743
1,no,300,[0.  0.1 0.9],49,5,2,15,0.39798225556653083
2,no,300,[0.  0.2 0.8],49,5,2,15,0.41887719486211933
3,no,300,[0.  0.3 0.7],49,5,2,15,0.43379244909940745
4,no,300,[0.  0.4 0.6],49,5,2,15,0.4346399067265261
5,no,300,[0.  0.5 0.5],49,5,2,17,0.4205585380362819
6,no,300,[0.  0.6 0.4],49,5,2,17,0.4205585380362819
7,no,300,[0.  0.7 0.3],49,5,2,18,0.402488858186941
8,no,300,[0.  0.8 0.2],49,5,2,17,0.4063024175089749
9,no,300,[0.  0.9 0.1],49,5,2,18,0.3872896224782663
10,no,300,[0. 1. 0.],49,5,2,18,0.38623030044436796
11,no,300,[0.1 0.  0.9],49,5,2,15,0.3999596566964743
12,no,300,[0.1 0.1 0.8],49,5,2,15,0.39798225556653083
13,no,300,[0.1 0.2 0.7],49,5,2,15,0.4224930140711588
14,no,300,[0.1 0.3 0.6],49,5,2,15,0.4346399067265261
15,no,300,[0.1 0.4 0.5],49,5,2,15,0.4346399067265261
16,no,300,[0.1 0.5 0.4],49,5,2,17,0.4205585380362819
17,no,300,[0.1 0.6 0.3],49,5,2,17,0.4205585380362819
18,no,300,[0.1 0.7 0.2],49,5,2,17,0.4176018525372235
19,no,300,[0.1 0.8 0.1],49,5,2,18,0.3872896224782663
20,no,300,[0.1 0.9 0. ],49,5,2,18,0.38623030044436796
21,no,300,[0.2 0.  0.8],49,5,2,15,0.3999596566964743
22,no,300,[0.2 0.1 0.7],49,5,2,15,0.400807114323593
23,no,300,[0.2 0.2 0.6],49,5,2,15,0.4224930140711588
24,no,300,[0.2 0.3 0.5],49,5,2,15,0.4346399067265261
25,no,300,[0.2 0.4 0.4],49,5,2,17,0.4205585380362819
26,no,300,[0.2 0.5 0.3],49,5,2,17,0.4205585380362819
27,no,300,[0.2 0.6 0.2],49,5,2,17,0.4176018525372235
28,no,300,[0.2 0.7 0.1],49,5,2,17,0.4151054657286569
29,no,300,[0.2 0.8 0. ],49,5,2,18,0.38623030044436796
30,no,300,[0.3 0.  0.7],49,5,2,15,0.3999596566964743
31,no,300,[0.3 0.1 0.6],49,5,2,15,0.40080711432359306
32,no,300,[0.3 0.2 0.5],49,5,2,15,0.43379244909940745
33,no,300,[0.3 0.3 0.4],49,5,2,15,0.4346399067265261
34,no,300,[0.3 0.4 0.3],49,5,2,17,0.4205585380362819
35,no,300,[0.3 0.5 0.2],49,5,2,18,0.402488858186941
36,no,300,[0.3 0.6 0.1],49,5,2,17,0.4151054657286569
37,no,300,[0.3 0.7 0. ],49,5,2,18,0.38623030044436796
38,no,300,[0.4 0.  0.6],49,5,2,15,0.3999596566964743
39,no,300,[0.4 0.1 0.5],49,5,2,15,0.39995965669647443
40,no,300,[0.4 0.2 0.4],49,5,2,15,0.4346399067265261
41,no,300,[0.4 0.3 0.3],49,5,2,17,0.4205585380362819
42,no,300,[0.4 0.4 0.2],49,5,2,17,0.4205585380362819
43,no,300,[0.4 0.5 0.1],49,5,2,17,0.4080433188360016
44,no,300,[0.4 0.6 0. ],49,5,2,18,0.38623030044436796
45,no,300,[0.5 0.  0.5],49,5,2,15,0.3999596566964743
46,no,300,[0.5 0.1 0.4],49,5,2,15,0.41887719486211933
47,no,300,[0.5 0.2 0.3],49,5,2,15,0.4346399067265261
48,no,300,[0.5 0.3 0.2],49,5,2,17,0.4205585380362819
49,no,300,[0.5 0.4 0.1],49,5,2,17,0.4063024175089749
50,no,300,[0.5 0.5 0. ],49,5,2,18,0.38623030044436796
51,no,300,[0.6 0.  0.4],49,5,2,15,0.3999596566964743
52,no,300,[0.6 0.1 0.3],49,5,2,15,0.4224930140711588
53,no,300,[0.6 0.2 0.2],49,5,2,17,0.4205585380362819
54,no,300,[0.6 0.3 0.1],49,5,2,17,0.4176018525372235
55,no,300,[0.6 0.4 0. ],49,5,2,18,0.38623030044436796
56,no,300,[0.7 0.  0.3],49,5,2,15,0.3999596566964743
57,no,300,[0.7 0.1 0.2],49,5,2,15,0.4346399067265261
58,no,300,[0.7 0.2 0.1],49,5,2,17,0.4205585380362819
59,no,300,[0.7 0.3 0. ],49,5,2,18,0.38623030044436796
60,no,300,[0.8 0.  0.2],49,5,2,15,0.3999596566964743
61,no,300,[0.8 0.1 0.1],49,5,2,17,0.4205585380362819
62,no,300,[ 0.8  0.2 -0. ],49,5,2,18,0.38623030044436796
63,no,300,[0.9 0.  0.1],49,5,2,15,0.3999596566964743
64,no,300,[ 0.9  0.1 -0. ],49,5,2,18,0.38623030044436796
65,no,300,[1. 0. 0.],49,5,3,15,0.39659081820934233
