,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,300,[0. 0. 1.],49,6,6,14,0.4319332274768415
1,no,300,[0.  0.1 0.9],49,6,5,15,0.4299382223781726
2,no,300,[0.  0.2 0.8],49,6,5,15,0.4299382223781726
3,no,300,[0.  0.3 0.7],49,6,5,14,0.4105057511138048
4,no,300,[0.  0.4 0.6],49,6,5,14,0.4018850614586324
5,no,300,[0.  0.5 0.5],49,6,6,13,0.40866367482707255
6,no,300,[0.  0.6 0.4],49,6,6,13,0.4097700778402552
7,no,300,[0.  0.7 0.3],49,6,6,13,0.4205139573129482
8,no,300,[0.  0.8 0.2],49,6,5,14,0.427160890037234
9,no,300,[0.  0.9 0.1],49,6,5,14,0.4220384794910947
10,no,300,[0. 1. 0.],49,6,5,14,0.42342736837998357
11,no,300,[0.1 0.  0.9],49,6,6,14,0.4319332274768415
12,no,300,[0.1 0.1 0.8],49,6,5,15,0.4299382223781726
13,no,300,[0.1 0.2 0.7],49,6,5,15,0.4299382223781726
14,no,300,[0.1 0.3 0.6],49,6,5,14,0.4105057511138048
15,no,300,[0.1 0.4 0.5],49,6,5,14,0.4105057511138048
16,no,300,[0.1 0.5 0.4],49,6,6,13,0.40866367482707255
17,no,300,[0.1 0.6 0.3],49,6,6,13,0.4092145222846996
18,no,300,[0.1 0.7 0.2],49,6,5,14,0.427160890037234
19,no,300,[0.1 0.8 0.1],49,6,5,14,0.4220384794910947
20,no,300,[0.1 0.9 0. ],49,6,5,14,0.42342736837998357
21,no,300,[0.2 0.  0.8],49,6,6,14,0.4319332274768415
22,no,300,[0.2 0.1 0.7],49,6,5,15,0.4299382223781726
23,no,300,[0.2 0.2 0.6],49,6,5,15,0.4299382223781726
24,no,300,[0.2 0.3 0.5],49,6,5,14,0.4105057511138048
25,no,300,[0.2 0.4 0.4],49,6,6,13,0.40866367482707255
26,no,300,[0.2 0.5 0.3],49,6,6,13,0.4097700778402552
27,no,300,[0.2 0.6 0.2],49,6,5,14,0.427160890037234
28,no,300,[0.2 0.7 0.1],49,6,5,14,0.4220384794910947
29,no,300,[0.2 0.8 0. ],49,6,5,14,0.42342736837998357
30,no,300,[0.3 0.  0.7],49,6,6,14,0.4319332274768415
31,no,300,[0.3 0.1 0.6],49,6,5,15,0.4299382223781726
32,no,300,[0.3 0.2 0.5],49,6,5,14,0.4105057511138048
33,no,300,[0.3 0.3 0.4],49,6,5,14,0.4105057511138048
34,no,300,[0.3 0.4 0.3],49,6,6,13,0.4097700778402552
35,no,300,[0.3 0.5 0.2],49,6,6,13,0.42774088763309887
36,no,300,[0.3 0.6 0.1],49,6,5,14,0.427160890037234
37,no,300,[0.3 0.7 0. ],49,6,5,14,0.42342736837998357
38,no,300,[0.4 0.  0.6],49,6,6,14,0.4319332274768415
39,no,300,[0.4 0.1 0.5],49,6,5,15,0.4299382223781726
40,no,300,[0.4 0.2 0.4],49,6,5,14,0.4105057511138048
41,no,300,[0.4 0.3 0.3],49,6,6,13,0.40866367482707255
42,no,300,[0.4 0.4 0.2],49,6,6,13,0.4092145222846996
43,no,300,[0.4 0.5 0.1],49,6,5,14,0.427160890037234
44,no,300,[0.4 0.6 0. ],49,6,5,14,0.42342736837998357
45,no,300,[0.5 0.  0.5],49,6,6,14,0.4319332274768415
46,no,300,[0.5 0.1 0.4],49,6,5,15,0.4299382223781726
47,no,300,[0.5 0.2 0.3],49,6,5,14,0.4018850614586324
48,no,300,[0.5 0.3 0.2],49,6,6,13,0.4097700778402552
49,no,300,[0.5 0.4 0.1],49,6,5,14,0.427160890037234
50,no,300,[0.5 0.5 0. ],49,6,5,14,0.42342736837998357
51,no,300,[0.6 0.  0.4],49,6,6,14,0.4319332274768415
52,no,300,[0.6 0.1 0.3],49,6,5,15,0.4299382223781726
53,no,300,[0.6 0.2 0.2],49,6,6,13,0.40866367482707255
54,no,300,[0.6 0.3 0.1],49,6,5,14,0.427160890037234
55,no,300,[0.6 0.4 0. ],49,6,5,14,0.42342736837998357
56,no,300,[0.7 0.  0.3],49,6,6,14,0.4319332274768415
57,no,300,[0.7 0.1 0.2],49,6,5,14,0.4105057511138048
58,no,300,[0.7 0.2 0.1],49,6,6,13,0.4092145222846996
59,no,300,[0.7 0.3 0. ],49,6,5,14,0.42342736837998357
60,no,300,[0.8 0.  0.2],49,6,6,14,0.4319332274768415
61,no,300,[0.8 0.1 0.1],49,6,6,13,0.40866367482707255
62,no,300,[ 0.8  0.2 -0. ],49,6,5,14,0.42342736837998357
63,no,300,[0.9 0.  0.1],49,6,6,14,0.4319332274768415
64,no,300,[ 0.9  0.1 -0. ],49,6,5,14,0.42342736837998357
65,no,300,[1. 0. 0.],49,6,4,14,0.40738064385669603
