,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,con_eval
0,no,400,[0. 0. 1.],49,5,1.2666666666666666,22.816666666666666,0.3328636739329401,92.71666666666667
1,no,400,[0.  0.1 0.9],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
2,no,400,[0.  0.2 0.8],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
3,no,400,[0.  0.3 0.7],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
4,no,400,[0.  0.4 0.6],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
5,no,400,[0.  0.5 0.5],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
6,no,400,[0.  0.6 0.4],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
7,no,400,[0.  0.7 0.3],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
8,no,400,[0.  0.8 0.2],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
9,no,400,[0.  0.9 0.1],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
10,no,400,[0. 1. 0.],49,5,1.3333333333333333,23.366666666666667,0.31531633530126474,93.4
11,no,400,[0.1 0.  0.9],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
12,no,400,[0.1 0.1 0.8],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
13,no,400,[0.1 0.2 0.7],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
14,no,400,[0.1 0.3 0.6],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
15,no,400,[0.1 0.4 0.5],49,5,1.3333333333333333,23.366666666666667,0.3073426249838044,93.4
16,no,400,[0.1 0.5 0.4],49,5,1.3333333333333333,23.366666666666667,0.3073426249838044,93.4
17,no,400,[0.1 0.6 0.3],49,5,1.3333333333333333,23.366666666666667,0.3068961964123758,93.4
18,no,400,[0.1 0.7 0.2],49,5,1.3333333333333333,23.366666666666667,0.3068961964123758,93.4
19,no,400,[0.1 0.8 0.1],49,5,1.3333333333333333,23.366666666666667,0.3068961964123758,93.4
20,no,400,[0.1 0.9 0. ],49,5,1.3333333333333333,23.366666666666667,0.3068961964123758,93.4
21,no,400,[0.2 0.  0.8],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
22,no,400,[0.2 0.1 0.7],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
23,no,400,[0.2 0.2 0.6],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
24,no,400,[0.2 0.3 0.5],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
25,no,400,[0.2 0.4 0.4],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
26,no,400,[0.2 0.5 0.3],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
27,no,400,[0.2 0.6 0.2],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
28,no,400,[0.2 0.7 0.1],49,5,1.3333333333333333,23.283333333333335,0.30957063424306364,93.1
29,no,400,[0.2 0.8 0. ],49,5,1.3333333333333333,23.366666666666667,0.3073426249838044,93.4
30,no,400,[0.3 0.  0.7],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
31,no,400,[0.3 0.1 0.6],49,5,1.3166666666666667,22.933333333333334,0.3139466472558095,85.71666666666667
