,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,700,[0. 0. 1.],49,5,0,8,0.6352513227513229
1,no,700,[0.  0.1 0.9],49,5,0,8,0.6224206349206349
2,no,700,[0.  0.2 0.8],49,5,0,8,0.5999338624338624
3,no,700,[0.  0.3 0.7],49,5,0,8,0.5999338624338624
4,no,700,[0.  0.4 0.6],49,5,0,8,0.5906746031746032
5,no,700,[0.  0.5 0.5],49,5,0,8,0.5986111111111111
6,no,700,[0.  0.6 0.4],49,5,0,9,0.5922619047619048
7,no,700,[0.  0.7 0.3],49,5,0,9,0.5861772486772486
8,no,700,[0.  0.8 0.2],49,5,1,9,0.5641801075268816
9,no,700,[0.  0.9 0.1],49,5,1,9,0.5633064516129032
10,no,700,[0. 1. 0.],49,5,1,8,0.5545376121463077
11,no,700,[0.1 0.  0.9],49,5,0,8,0.6352513227513229
12,no,700,[0.1 0.1 0.8],49,5,0,8,0.6224206349206349
13,no,700,[0.1 0.2 0.7],49,5,0,8,0.5999338624338624
14,no,700,[0.1 0.3 0.6],49,5,0,8,0.5906746031746032
15,no,700,[0.1 0.4 0.5],49,5,0,8,0.5906746031746032
16,no,700,[0.1 0.5 0.4],49,5,0,8,0.6065476190476191
17,no,700,[0.1 0.6 0.3],49,5,0,9,0.5922619047619048
18,no,700,[0.1 0.7 0.2],49,5,1,9,0.5641801075268816
19,no,700,[0.1 0.8 0.1],49,5,1,9,0.5633064516129032
20,no,700,[0.1 0.9 0. ],49,5,1,8,0.5545376121463077
21,no,700,[0.2 0.  0.8],49,5,0,8,0.6352513227513229
22,no,700,[0.2 0.1 0.7],49,5,0,8,0.6197751322751323
23,no,700,[0.2 0.2 0.6],49,5,0,8,0.5999338624338624
24,no,700,[0.2 0.3 0.5],49,5,0,8,0.5906746031746032
25,no,700,[0.2 0.4 0.4],49,5,0,8,0.5986111111111111
26,no,700,[0.2 0.5 0.3],49,5,0,9,0.5922619047619048
27,no,700,[0.2 0.6 0.2],49,5,0,9,0.5782407407407407
28,no,700,[0.2 0.7 0.1],49,5,1,9,0.5633064516129032
29,no,700,[0.2 0.8 0. ],49,5,1,8,0.5545376121463077
30,no,700,[0.3 0.  0.7],49,5,0,8,0.6352513227513229
31,no,700,[0.3 0.1 0.6],49,5,0,8,0.6118386243386243
32,no,700,[0.3 0.2 0.5],49,5,0,8,0.5999338624338624
33,no,700,[0.3 0.3 0.4],49,5,0,8,0.5906746031746032
34,no,700,[0.3 0.4 0.3],49,5,0,9,0.5922619047619048
35,no,700,[0.3 0.5 0.2],49,5,0,9,0.5861772486772486
36,no,700,[0.3 0.6 0.1],49,5,1,9,0.5633064516129032
37,no,700,[0.3 0.7 0. ],49,5,1,8,0.5545376121463077
38,no,700,[0.4 0.  0.6],49,5,0,8,0.6352513227513229
39,no,700,[0.4 0.1 0.5],49,5,0,8,0.6039021164021163
40,no,700,[0.4 0.2 0.4],49,5,0,8,0.5906746031746032
41,no,700,[0.4 0.3 0.3],49,5,0,8,0.5986111111111111
42,no,700,[0.4 0.4 0.2],49,5,0,9,0.5922619047619048
43,no,700,[0.4 0.5 0.1],49,5,1,9,0.5641801075268816
44,no,700,[0.4 0.6 0. ],49,5,1,8,0.5545376121463077
45,no,700,[0.5 0.  0.5],49,5,0,8,0.6352513227513229
46,no,700,[0.5 0.1 0.4],49,5,0,8,0.5999338624338624
47,no,700,[0.5 0.2 0.3],49,5,0,8,0.5906746031746032
48,no,700,[0.5 0.3 0.2],49,5,0,9,0.5922619047619048
49,no,700,[0.5 0.4 0.1],49,5,1,9,0.5641801075268816
50,no,700,[0.5 0.5 0. ],49,5,1,8,0.5545376121463077
51,no,700,[0.6 0.  0.4],49,5,0,8,0.6352513227513229
52,no,700,[0.6 0.1 0.3],49,5,0,8,0.5999338624338624
53,no,700,[0.6 0.2 0.2],49,5,0,8,0.5986111111111111
54,no,700,[0.6 0.3 0.1],49,5,0,9,0.5782407407407407
55,no,700,[0.6 0.4 0. ],49,5,1,8,0.5545376121463077
56,no,700,[0.7 0.  0.3],49,5,0,8,0.6352513227513229
57,no,700,[0.7 0.1 0.2],49,5,0,8,0.5906746031746032
58,no,700,[0.7 0.2 0.1],49,5,0,9,0.5922619047619048
59,no,700,[0.7 0.3 0. ],49,5,1,8,0.5545376121463077
60,no,700,[0.8 0.  0.2],49,5,0,8,0.6352513227513229
61,no,700,[0.8 0.1 0.1],49,5,0,8,0.5986111111111111
62,no,700,[ 0.8  0.2 -0. ],49,5,1,8,0.5545376121463077
63,no,700,[0.9 0.  0.1],49,5,0,8,0.6352513227513229
64,no,700,[ 0.9  0.1 -0. ],49,5,1,8,0.5545376121463077
65,no,700,[1. 0. 0.],49,5,0,8,0.5892210144927535
