,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,yes,800,[0. 0. 1.],48,6,1,7,0.7267437704248367
1,yes,800,[0.  0.1 0.9],48,6,1,7,0.6753114787581699
2,yes,800,[0.  0.2 0.8],48,6,1,7,0.6661968954248366
3,yes,800,[0.  0.3 0.7],48,6,1,7,0.6406147875816994
4,yes,800,[0.  0.4 0.6],48,6,1,7,0.6518995098039216
5,yes,800,[0.  0.5 0.5],48,6,1,7,0.6518995098039216
6,yes,800,[0.  0.6 0.4],48,6,1,7,0.6518995098039216
7,yes,800,[0.  0.7 0.3],48,6,1,7,0.6518995098039216
8,yes,800,[0.  0.8 0.2],48,6,1,7,0.6518995098039216
9,yes,800,[0.  0.9 0.1],48,6,1,7,0.6518995098039216
10,yes,800,[0. 1. 0.],48,6,1,7,0.6128370098039216
11,yes,800,[0.1 0.  0.9],48,6,1,7,0.7267437704248367
12,yes,800,[0.1 0.1 0.8],48,6,1,7,0.6753114787581699
13,yes,800,[0.1 0.2 0.7],48,6,1,7,0.6661968954248366
14,yes,800,[0.1 0.3 0.6],48,6,1,7,0.6421772875816993
15,yes,800,[0.1 0.4 0.5],48,6,1,7,0.6518995098039216
16,yes,800,[0.1 0.5 0.4],48,6,1,7,0.6518995098039216
17,yes,800,[0.1 0.6 0.3],48,6,1,7,0.6518995098039216
18,yes,800,[0.1 0.7 0.2],48,6,1,7,0.6518995098039216
19,yes,800,[0.1 0.8 0.1],48,6,1,7,0.6518995098039216
20,yes,800,[0.1 0.9 0. ],48,6,1,7,0.6128370098039216
21,yes,800,[0.2 0.  0.8],48,6,1,7,0.7267437704248367
22,yes,800,[0.2 0.1 0.7],48,6,1,7,0.6661968954248366
23,yes,800,[0.2 0.2 0.6],48,6,1,7,0.6406147875816994
24,yes,800,[0.2 0.3 0.5],48,6,1,7,0.6518995098039216
25,yes,800,[0.2 0.4 0.4],48,6,1,7,0.6518995098039216
26,yes,800,[0.2 0.5 0.3],48,6,1,7,0.6518995098039216
27,yes,800,[0.2 0.6 0.2],48,6,1,7,0.6518995098039216
28,yes,800,[0.2 0.7 0.1],48,6,1,7,0.6518995098039216
29,yes,800,[0.2 0.8 0. ],48,6,1,7,0.6128370098039216
30,yes,800,[0.3 0.  0.7],48,6,1,7,0.7267437704248367
31,yes,800,[0.3 0.1 0.6],48,6,1,7,0.6661968954248366
32,yes,800,[0.3 0.2 0.5],48,6,1,7,0.6406147875816994
33,yes,800,[0.3 0.3 0.4],48,6,1,7,0.6518995098039216
34,yes,800,[0.3 0.4 0.3],48,6,1,7,0.6518995098039216
35,yes,800,[0.3 0.5 0.2],48,6,1,7,0.6518995098039216
36,yes,800,[0.3 0.6 0.1],48,6,1,7,0.6518995098039216
37,yes,800,[0.3 0.7 0. ],48,6,1,7,0.6128370098039216
38,yes,800,[0.4 0.  0.6],48,6,1,7,0.7267437704248367
39,yes,800,[0.4 0.1 0.5],48,6,1,7,0.6661968954248366
40,yes,800,[0.4 0.2 0.4],48,6,1,7,0.6421772875816993
41,yes,800,[0.4 0.3 0.3],48,6,1,7,0.6518995098039216
42,yes,800,[0.4 0.4 0.2],48,6,1,7,0.6518995098039216
43,yes,800,[0.4 0.5 0.1],48,6,1,7,0.6518995098039216
44,yes,800,[0.4 0.6 0. ],48,6,1,7,0.6128370098039216
45,yes,800,[0.5 0.  0.5],48,6,1,7,0.7267437704248367
46,yes,800,[0.5 0.1 0.4],48,6,1,7,0.6661968954248366
47,yes,800,[0.5 0.2 0.3],48,6,1,7,0.6518995098039216
48,yes,800,[0.5 0.3 0.2],48,6,1,7,0.6518995098039216
49,yes,800,[0.5 0.4 0.1],48,6,1,7,0.6518995098039216
50,yes,800,[0.5 0.5 0. ],48,6,1,7,0.6128370098039216
51,yes,800,[0.6 0.  0.4],48,6,1,7,0.7267437704248367
52,yes,800,[0.6 0.1 0.3],48,6,1,7,0.6406147875816994
53,yes,800,[0.6 0.2 0.2],48,6,1,7,0.6518995098039216
54,yes,800,[0.6 0.3 0.1],48,6,1,7,0.6518995098039216
55,yes,800,[0.6 0.4 0. ],48,6,1,7,0.6128370098039216
56,yes,800,[0.7 0.  0.3],48,6,1,7,0.7267437704248367
57,yes,800,[0.7 0.1 0.2],48,6,1,7,0.6421772875816993
58,yes,800,[0.7 0.2 0.1],48,6,1,7,0.6518995098039216
59,yes,800,[0.7 0.3 0. ],48,6,1,7,0.6128370098039216
60,yes,800,[0.8 0.  0.2],48,6,1,7,0.7267437704248367
61,yes,800,[0.8 0.1 0.1],48,6,1,7,0.6518995098039216
62,yes,800,[ 0.8  0.2 -0. ],48,6,1,7,0.6128370098039216
63,yes,800,[0.9 0.  0.1],48,6,1,7,0.7267437704248367
64,yes,800,[ 0.9  0.1 -0. ],48,6,1,7,0.6128370098039216
65,yes,800,[1. 0. 0.],48,6,1,7,0.5707797181372549
