,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,yes,100,[0. 0. 1.],49,7,2.85,36.7,0.13969490672035081,36.7
1,yes,100,[0.  0.1 0.9],49,7,2.85,36.7,0.13969490672035081,36.7
2,yes,100,[0.  0.2 0.8],49,7,2.816666666666667,36.75,0.15036019109943763,36.75
3,yes,100,[0.  0.3 0.7],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
4,yes,100,[0.  0.4 0.6],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
5,yes,100,[0.  0.5 0.5],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
6,yes,100,[0.  0.6 0.4],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
7,yes,100,[0.  0.7 0.3],49,7,2.8,36.7,0.14999133805048726,36.7
8,yes,100,[0.  0.8 0.2],49,7,2.8,36.7,0.14758950012233354,36.7
9,yes,100,[0.  0.9 0.1],49,7,2.8,36.7,0.14758950012233354,36.7
10,yes,100,[0. 1. 0.],49,7,2.816666666666667,36.333333333333336,0.15067308275360525,36.333333333333336
11,yes,100,[0.1 0.  0.9],49,7,2.85,36.7,0.13969490672035081,36.7
12,yes,100,[0.1 0.1 0.8],49,7,2.816666666666667,36.63333333333333,0.13987064368180205,36.63333333333333
13,yes,100,[0.1 0.2 0.7],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
14,yes,100,[0.1 0.3 0.6],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
15,yes,100,[0.1 0.4 0.5],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
16,yes,100,[0.1 0.5 0.4],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
17,yes,100,[0.1 0.6 0.3],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
18,yes,100,[0.1 0.7 0.2],49,7,2.8,36.7,0.14758950012233354,36.7
19,yes,100,[0.1 0.8 0.1],49,7,2.8,36.7,0.14758950012233354,36.7
20,yes,100,[0.1 0.9 0. ],49,7,2.816666666666667,36.333333333333336,0.15067308275360525,36.333333333333336
21,yes,100,[0.2 0.  0.8],49,7,2.816666666666667,36.63333333333333,0.13987064368180205,36.63333333333333
22,yes,100,[0.2 0.1 0.7],49,7,2.816666666666667,36.63333333333333,0.13987064368180205,36.63333333333333
23,yes,100,[0.2 0.2 0.6],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
24,yes,100,[0.2 0.3 0.5],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
25,yes,100,[0.2 0.4 0.4],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
26,yes,100,[0.2 0.5 0.3],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
27,yes,100,[0.2 0.6 0.2],49,7,2.8,36.7,0.14978248257847387,36.7
28,yes,100,[0.2 0.7 0.1],49,7,2.8,36.7,0.14758950012233354,36.7
29,yes,100,[0.2 0.8 0. ],49,7,2.816666666666667,36.333333333333336,0.15067308275360525,36.333333333333336
30,yes,100,[0.3 0.  0.7],49,7,2.816666666666667,36.63333333333333,0.13987064368180205,36.63333333333333
31,yes,100,[0.3 0.1 0.6],49,7,2.816666666666667,36.63333333333333,0.14991528653894495,36.63333333333333
32,yes,100,[0.3 0.2 0.5],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
33,yes,100,[0.3 0.3 0.4],49,7,2.816666666666667,36.65,0.15035216452257882,36.65
34,yes,100,[0.3 0.4 0.3],49,7,2.816666666666667,36.65,0.15001723629291375,36.65
35,yes,100,[0.3 0.5 0.2],49,7,2.8,36.7,0.15027430352869892,36.7
36,yes,100,[0.3 0.6 0.1],49,7,2.8,36.7,0.15006544805668554,36.7
37,yes,100,[0.3 0.7 0. ],49,7,2.816666666666667,36.333333333333336,0.15096633788557004,36.333333333333336
38,yes,100,[0.4 0.  0.6],49,7,2.816666666666667,36.63333333333333,0.13987064368180205,36.63333333333333
39,yes,100,[0.4 0.1 0.5],49,7,2.816666666666667,36.63333333333333,0.14991528653894495,36.63333333333333
40,yes,100,[0.4 0.2 0.4],49,7,2.816666666666667,36.65,0.15063513000079048,36.65
41,yes,100,[0.4 0.3 0.3],49,7,2.816666666666667,36.65,0.1503002017711254,36.65
42,yes,100,[0.4 0.4 0.2],49,7,2.816666666666667,36.65,0.1503002017711254,36.65
43,yes,100,[0.4 0.5 0.1],49,7,2.8,36.7,0.15006544805668554,36.7
44,yes,100,[0.4 0.6 0. ],49,7,2.816666666666667,36.333333333333336,0.15096633788557004,36.333333333333336
45,yes,100,[0.5 0.  0.5],49,7,2.816666666666667,36.63333333333333,0.15020330497212467,36.63333333333333
46,yes,100,[0.5 0.1 0.4],49,7,2.783333333333333,36.68333333333333,0.15081581043451364,36.68333333333333
47,yes,100,[0.5 0.2 0.3],49,7,2.816666666666667,36.65,0.15063513000079048,36.65
48,yes,100,[0.5 0.3 0.2],49,7,2.816666666666667,36.65,0.1503002017711254,36.65
49,yes,100,[0.5 0.4 0.1],49,7,2.8,36.7,0.15006544805668554,36.7
50,yes,100,[0.5 0.5 0. ],49,7,2.816666666666667,36.333333333333336,0.15323906515829733,36.333333333333336
51,yes,100,[0.6 0.  0.4],49,7,2.816666666666667,36.63333333333333,0.15020330497212467,36.63333333333333
52,yes,100,[0.6 0.1 0.3],49,7,2.783333333333333,36.68333333333333,0.15081581043451364,36.68333333333333
53,yes,100,[0.6 0.2 0.2],49,7,2.816666666666667,36.65,0.15063513000079048,36.65
54,yes,100,[0.6 0.3 0.1],49,7,2.816666666666667,36.65,0.15009134629911203,36.65
55,yes,100,[0.6 0.4 0. ],49,7,2.816666666666667,36.333333333333336,0.15323906515829733,36.333333333333336
56,yes,100,[0.7 0.  0.3],49,7,2.816666666666667,36.63333333333333,0.15020330497212467,36.63333333333333
57,yes,100,[0.7 0.1 0.2],49,7,2.816666666666667,36.65,0.15063513000079048,36.65
58,yes,100,[0.7 0.2 0.1],49,7,2.816666666666667,36.65,0.1503002017711254,36.65
59,yes,100,[0.7 0.3 0. ],49,7,2.816666666666667,36.333333333333336,0.15323906515829733,36.333333333333336
60,yes,100,[0.8 0.  0.2],49,7,2.816666666666667,36.63333333333333,0.15020330497212467,36.63333333333333
61,yes,100,[0.8 0.1 0.1],49,7,2.816666666666667,36.65,0.15063513000079048,36.65
62,yes,100,[ 0.8  0.2 -0. ],49,7,2.816666666666667,36.333333333333336,0.15323906515829733,36.333333333333336
63,yes,100,[0.9 0.  0.1],49,7,2.816666666666667,36.63333333333333,0.15020330497212467,36.63333333333333
64,yes,100,[ 0.9  0.1 -0. ],49,7,2.8333333333333335,36.28333333333333,0.15326590515499386,36.28333333333333
65,yes,100,[1. 0. 0.],49,7,2.8,36.31666666666667,0.14990055182461212,36.31666666666667
