,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,0,no,500,[0. 0. 1.],49,5,0.1,10.6,0.543779277215093,10.6
1,1,no,500,[0.  0.1 0.9],49,5,0.1,10.6,0.542366847836562,10.6
2,2,no,500,[0.  0.2 0.8],49,5,0.1,10.6,0.5508414241077483,10.6
3,3,no,500,[0.  0.3 0.7],49,5,0.1,10.6,0.5508414241077483,10.6
4,4,no,500,[0.  0.4 0.6],49,5,0.1,10.6,0.5521846167520377,10.6
5,5,no,500,[0.  0.5 0.5],49,5,0.1,10.6,0.5521541013025015,10.6
6,6,no,500,[0.  0.6 0.4],49,5,0.1,10.6,0.5521541013025015,10.6
7,7,no,500,[0.  0.7 0.3],49,5,0.1,10.6,0.5337925193815977,10.6
8,8,no,500,[0.  0.8 0.2],49,5,0.1,10.6,0.5366173781386598,10.6
9,9,no,500,[0.  0.9 0.1],49,5,0.1,10.6,0.5366173781386598,10.6
10,10,no,500,[0. 1. 0.],49,5,0.1,10.6,0.532430762148029,10.6
11,11,no,500,[0.1 0.  0.9],49,5,0.1,10.6,0.5522538534862793,10.6
12,12,no,500,[0.1 0.1 0.8],49,5,0.1,10.6,0.5508414241077483,10.6
13,13,no,500,[0.1 0.2 0.7],49,5,0.1,10.6,0.5536662828648105,10.6
14,14,no,500,[0.1 0.3 0.6],49,5,0.1,10.6,0.5535970461305687,10.6
15,15,no,500,[0.1 0.4 0.5],49,5,0.1,10.6,0.5521846167520377,10.6
16,16,no,500,[0.1 0.5 0.4],49,5,0.1,10.6,0.5521541013025015,10.6
17,17,no,500,[0.1 0.6 0.3],49,5,0.1,10.6,0.5451091193502103,10.6
18,18,no,500,[0.1 0.7 0.2],49,5,0.1,10.6,0.538046972457555,10.6
19,19,no,500,[0.1 0.8 0.1],49,5,0.1,10.6,0.5352010008238449,10.6
20,20,no,500,[0.1 0.9 0. ],49,5,0.1,10.6,0.5351098763478107,10.6
21,21,no,500,[0.2 0.  0.8],49,5,0.1,10.6,0.5522538534862793,10.6
22,22,no,500,[0.2 0.1 0.7],49,5,0.1,10.6,0.5607284297574657,10.6
