,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,200,[0. 0. 1.],49,0,1.35,21.433333333333334,0.3339126904094014,21.433333333333334
1,no,200,[0.  0.1 0.9],49,0,1.4,20.4,0.31746353735026894,20.4
2,no,200,[0.  0.2 0.8],49,0,1.4166666666666667,19.616666666666667,0.3179911507624977,19.616666666666667
3,no,200,[0.  0.3 0.7],49,0,1.45,20.55,0.3377977779744133,20.55
4,no,200,[0.  0.4 0.6],49,0,1.45,20.333333333333332,0.33017987198772586,20.333333333333332
5,no,200,[0.  0.5 0.5],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
6,no,200,[0.  0.6 0.4],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
7,no,200,[0.  0.7 0.3],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
8,no,200,[0.  0.8 0.2],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
9,no,200,[0.  0.9 0.1],49,0,1.5166666666666666,20.5,0.3161799087083691,20.5
10,no,200,[0. 1. 0.],49,0,1.5166666666666666,20.5,0.315434691203128,20.5
11,no,200,[0.1 0.  0.9],49,0,1.35,21.083333333333332,0.3299951607750915,21.083333333333332
12,no,200,[0.1 0.1 0.8],49,0,1.4,20.4,0.3142584091451407,20.4
13,no,200,[0.1 0.2 0.7],49,0,1.5333333333333334,19.733333333333334,0.3357411378291641,19.733333333333334
14,no,200,[0.1 0.3 0.6],49,0,1.45,20.333333333333332,0.3285773078851618,20.333333333333332
15,no,200,[0.1 0.4 0.5],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
16,no,200,[0.1 0.5 0.4],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
17,no,200,[0.1 0.6 0.3],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
18,no,200,[0.1 0.7 0.2],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
19,no,200,[0.1 0.8 0.1],49,0,1.5166666666666666,20.5,0.32511358509487565,20.5
20,no,200,[0.1 0.9 0. ],49,0,1.5166666666666666,20.5,0.31250876329194066,20.5
21,no,200,[0.2 0.  0.8],49,0,1.35,21.083333333333332,0.3299951607750915,21.083333333333332
22,no,200,[0.2 0.1 0.7],49,0,1.4,20.4,0.3167783030443449,20.4
23,no,200,[0.2 0.2 0.6],49,0,1.5333333333333334,19.733333333333334,0.3357411378291641,19.733333333333334
24,no,200,[0.2 0.3 0.5],49,0,1.45,20.333333333333332,0.3295498985129249,20.333333333333332
25,no,200,[0.2 0.4 0.4],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
26,no,200,[0.2 0.5 0.3],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
27,no,200,[0.2 0.6 0.2],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
28,no,200,[0.2 0.7 0.1],49,0,1.5166666666666666,20.5,0.32511358509487565,20.5
29,no,200,[0.2 0.8 0. ],49,0,1.5166666666666666,20.5,0.32430121612212937,20.5
30,no,200,[0.3 0.  0.7],49,0,1.35,21.083333333333332,0.3299951607750915,21.083333333333332
31,no,200,[0.3 0.1 0.6],49,0,1.4,20.4,0.3167783030443449,20.4
32,no,200,[0.3 0.2 0.5],49,0,1.5333333333333334,19.733333333333334,0.33731607151616677,19.733333333333334
33,no,200,[0.3 0.3 0.4],49,0,1.45,20.333333333333332,0.3280007532137796,20.333333333333332
34,no,200,[0.3 0.4 0.3],49,0,1.45,20.333333333333332,0.3286307266885806,20.333333333333332
35,no,200,[0.3 0.5 0.2],49,0,1.5333333333333334,19.85,0.3246680924324019,19.85
36,no,200,[0.3 0.6 0.1],49,0,1.5166666666666666,20.416666666666668,0.326240419476427,20.416666666666668
37,no,200,[0.3 0.7 0. ],49,0,1.5166666666666666,20.416666666666668,0.3254280505036807,20.416666666666668
38,no,200,[0.4 0.  0.6],49,0,1.35,21.083333333333332,0.3299951607750915,21.083333333333332
39,no,200,[0.4 0.1 0.5],49,0,1.4,20.4,0.31772381586485776,20.4
40,no,200,[0.4 0.2 0.4],49,0,1.45,20.216666666666665,0.34208370690537265,20.216666666666665
41,no,200,[0.4 0.3 0.3],49,0,1.45,20.333333333333332,0.32957568690078215,20.333333333333332
42,no,200,[0.4 0.4 0.2],49,0,1.5333333333333334,19.766666666666666,0.32672205758818873,19.766666666666666
43,no,200,[0.4 0.5 0.1],49,0,1.5166666666666666,20.416666666666668,0.3254280505036807,20.416666666666668
44,no,200,[0.4 0.6 0. ],49,0,1.5166666666666666,20.416666666666668,0.3254280505036807,20.416666666666668
45,no,200,[0.5 0.  0.5],49,0,1.35,21.083333333333332,0.3299951607750915,21.083333333333332
46,no,200,[0.5 0.1 0.4],49,0,1.4,20.316666666666666,0.3189524483434903,20.316666666666666
47,no,200,[0.5 0.2 0.3],49,0,1.45,20.25,0.3307241911742864,20.25
