,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,600,[0. 0. 1.],49,5,0.1,9.4,0.5661606456746613,9.4
1,no,600,[0.  0.1 0.9],49,5,0.1,9.4,0.5555786350926508,9.4
2,no,600,[0.  0.2 0.8],49,5,0.1,9.4,0.5608102861576351,9.4
3,no,600,[0.  0.3 0.7],49,5,0.1,9.4,0.5581647835121324,9.4
4,no,600,[0.  0.4 0.6],49,5,0.1,9.4,0.5553723084974352,9.4
5,no,600,[0.  0.5 0.5],49,5,0.1,9.4,0.5553723084974352,9.4
6,no,600,[0.  0.6 0.4],49,5,0.1,9.4,0.5379497839320534,9.4
7,no,600,[0.  0.7 0.3],49,5,0.1,9.4,0.5366270326093021,9.4
8,no,600,[0.  0.8 0.2],49,5,0.1,9.366666666666667,0.5510450220272914,9.366666666666667
9,no,600,[0.  0.9 0.1],49,5,0.1,9.383333333333333,0.5497222707045403,9.383333333333333
10,no,600,[0. 1. 0.],49,5,0.1,9.383333333333333,0.5407608898077418,9.383333333333333
11,no,600,[0.1 0.  0.9],49,5,0.1,9.4,0.5740971536111692,9.4
12,no,600,[0.1 0.1 0.8],49,5,0.1,9.4,0.5608102861576351,9.4
13,no,600,[0.1 0.2 0.7],49,5,0.1,9.4,0.5581647835121324,9.4
14,no,600,[0.1 0.3 0.6],49,5,0.1,9.4,0.5555192808666299,9.4
15,no,600,[0.1 0.4 0.5],49,5,0.1,9.4,0.5553723084974352,9.4
16,no,600,[0.1 0.5 0.4],49,5,0.1,9.4,0.5472090431913128,9.4
17,no,600,[0.1 0.6 0.3],49,5,0.1,9.4,0.5458862918685613,9.4
18,no,600,[0.1 0.7 0.2],49,5,0.1,9.4,0.54456354054581,9.4
19,no,600,[0.1 0.8 0.1],49,5,0.1,9.366666666666667,0.543637614619884,9.366666666666667
20,no,600,[0.1 0.9 0. ],49,5,0.1,9.383333333333333,0.5370238580061274,9.383333333333333
21,no,600,[0.2 0.  0.8],49,5,0.1,9.4,0.5740971536111692,9.4
22,no,600,[0.2 0.1 0.7],49,5,0.1,9.4,0.5687467940941431,9.4
23,no,600,[0.2 0.2 0.6],49,5,0.1,9.4,0.5581647835121324,9.4
24,no,600,[0.2 0.3 0.5],49,5,0.1,9.4,0.5555192808666299,9.4
25,no,600,[0.2 0.4 0.4],49,5,0.1,9.4,0.5472090431913128,9.4
26,no,600,[0.2 0.5 0.3],49,5,0.1,9.4,0.5538227998050694,9.4
27,no,600,[0.2 0.6 0.2],49,5,0.1,9.4,0.5472090431913126,9.4
28,no,600,[0.2 0.7 0.1],49,5,0.1,9.366666666666667,0.5370238580061276,9.366666666666667
29,no,600,[0.2 0.8 0. ],49,5,0.1,9.383333333333333,0.5370238580061274,9.383333333333333
30,no,600,[0.3 0.  0.7],49,5,0.1,9.4,0.5661606456746613,9.4
31,no,600,[0.3 0.1 0.6],49,5,0.1,9.4,0.5687467940941431,9.4
32,no,600,[0.3 0.2 0.5],49,5,0.1,9.4,0.5552925234970153,9.4
33,no,600,[0.3 0.3 0.4],49,5,0.1,9.4,0.5419180379003073,9.4
34,no,600,[0.3 0.4 0.3],49,5,0.1,9.4,0.5472090431913126,9.4
35,no,600,[0.3 0.5 0.2],49,5,0.1,9.4,0.5419180379003073,9.4
36,no,600,[0.3 0.6 0.1],49,5,0.1,9.366666666666667,0.5462831172653868,9.366666666666667
37,no,600,[0.3 0.7 0. ],49,5,0.1,9.383333333333333,0.5378175087997783,9.383333333333333
38,no,600,[0.4 0.  0.6],49,5,0.1,9.4,0.5661606456746613,9.4
39,no,600,[0.4 0.1 0.5],49,5,0.1,9.4,0.5513242695287613,9.4
40,no,600,[0.4 0.2 0.4],49,5,0.1,9.4,0.5486787668832586,9.4
41,no,600,[0.4 0.3 0.3],49,5,0.1,9.4,0.5419180379003073,9.4
42,no,600,[0.4 0.4 0.2],49,5,0.1,9.4,0.5405952865775561,9.4
43,no,600,[0.4 0.5 0.1],49,5,0.1,9.4,0.539801635783905,9.4
44,no,600,[0.4 0.6 0. ],49,5,0.1,9.366666666666667,0.5417857627680323,9.366666666666667
45,no,600,[0.5 0.  0.5],49,5,0.1,9.4,0.5500608724320307,9.4
46,no,600,[0.5 0.1 0.4],49,5,0.1,9.4,0.5447105129150046,9.4
47,no,600,[0.5 0.2 0.3],49,5,0.1,9.4,0.5407422589467507,9.4
48,no,600,[0.5 0.3 0.2],49,5,0.1,9.4,0.5392725352548046,9.4
49,no,600,[0.5 0.4 0.1],49,5,0.1,9.4,0.5392725352548046,9.4
50,no,600,[0.5 0.5 0. ],49,5,0.1,9.366666666666667,0.5444312654135348,9.366666666666667
51,no,600,[0.6 0.  0.4],49,5,0.1,9.4,0.5421243644955228,9.4
52,no,600,[0.6 0.1 0.3],49,5,0.1,9.4,0.538096756301248,9.4
53,no,600,[0.6 0.2 0.2],49,5,0.1,9.4,0.5371561331384026,9.4
54,no,600,[0.6 0.3 0.1],49,5,0.1,9.4,0.5392725352548046,9.4
55,no,600,[0.6 0.4 0. ],49,5,0.1,9.4,0.5352561812384506,9.4
56,no,600,[0.7 0.  0.3],49,5,0.1,9.4,0.5394195076239992,9.4
57,no,600,[0.7 0.1 0.2],49,5,0.1,9.4,0.5373031055075972,9.4
58,no,600,[0.7 0.2 0.1],49,5,0.1,9.4,0.5371561331384026,9.4
59,no,600,[0.7 0.3 0. ],49,5,0.1,9.4,0.5365789325612021,9.4
60,no,600,[0.8 0.  0.2],49,5,0.1,9.4,0.5337978145023062,9.4
61,no,600,[0.8 0.1 0.1],49,5,0.1,9.4,0.5346095028139944,9.4
62,no,600,[ 0.8  0.2 -0. ],49,5,0.1,9.4,0.5344625304447999,9.4
63,no,600,[0.9 0.  0.1],49,5,0.1,9.4,0.5297814604859522,9.4
64,no,600,[ 0.9  0.1 -0. ],49,5,0.1,9.4,0.5296344881167576,9.4
65,no,600,[1. 0. 0.],49,5,0.1,9.4,0.5297814604859522,9.4
