,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,500,[0. 0. 1.],49,7,0.21666666666666667,11.35,0.5483056347543297,11.35
1,no,500,[0.  0.1 0.9],49,7,0.21666666666666667,11.35,0.5375529465822867,11.35
2,no,500,[0.  0.2 0.8],49,7,0.21666666666666667,11.35,0.5485194326420664,11.35
3,no,500,[0.  0.3 0.7],49,7,0.21666666666666667,11.35,0.5377667444700234,11.35
4,no,500,[0.  0.4 0.6],49,7,0.21666666666666667,11.35,0.5350785724270125,11.35
5,no,500,[0.  0.5 0.5],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
6,no,500,[0.  0.6 0.4],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
7,no,500,[0.  0.7 0.3],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
8,no,500,[0.  0.8 0.2],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
9,no,500,[0.  0.9 0.1],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
10,no,500,[0. 1. 0.],49,7,0.21666666666666667,11.383333333333333,0.5210253637657598,11.383333333333333
11,no,500,[0.1 0.  0.9],49,7,0.21666666666666667,11.35,0.5509938067973403,11.35
12,no,500,[0.1 0.1 0.8],49,7,0.21666666666666667,11.35,0.5483056347543297,11.35
13,no,500,[0.1 0.2 0.7],49,7,0.21666666666666667,11.35,0.5485194326420664,11.35
14,no,500,[0.1 0.3 0.6],49,7,0.21666666666666667,11.35,0.5377667444700234,11.35
15,no,500,[0.1 0.4 0.5],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
16,no,500,[0.1 0.5 0.4],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
17,no,500,[0.1 0.6 0.3],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
18,no,500,[0.1 0.7 0.2],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
19,no,500,[0.1 0.8 0.1],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
20,no,500,[0.1 0.9 0. ],49,7,0.21666666666666667,11.383333333333333,0.512672829203548,11.383333333333333
21,no,500,[0.2 0.  0.8],49,7,0.21666666666666667,11.35,0.5509938067973403,11.35
22,no,500,[0.2 0.1 0.7],49,7,0.21666666666666667,11.35,0.545571114917474,11.35
23,no,500,[0.2 0.2 0.6],49,7,0.21666666666666667,11.35,0.5377667444700234,11.35
24,no,500,[0.2 0.3 0.5],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
25,no,500,[0.2 0.4 0.4],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
26,no,500,[0.2 0.5 0.3],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
27,no,500,[0.2 0.6 0.2],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
28,no,500,[0.2 0.7 0.1],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
29,no,500,[0.2 0.8 0. ],49,7,0.21666666666666667,11.383333333333333,0.512672829203548,11.383333333333333
30,no,500,[0.3 0.  0.7],49,7,0.21666666666666667,11.35,0.5509938067973403,11.35
31,no,500,[0.3 0.1 0.6],49,7,0.21666666666666667,11.35,0.5482592869604845,11.35
32,no,500,[0.3 0.2 0.5],49,7,0.21666666666666667,11.35,0.5404549165130341,11.35
33,no,500,[0.3 0.3 0.4],49,7,0.21666666666666667,11.35,0.5337113125085847,11.35
34,no,500,[0.3 0.4 0.3],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
35,no,500,[0.3 0.5 0.2],49,7,0.21666666666666667,11.383333333333333,0.5234962587451438,11.383333333333333
36,no,500,[0.3 0.6 0.1],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
37,no,500,[0.3 0.7 0. ],49,7,0.21666666666666667,11.383333333333333,0.5140400891219759,11.383333333333333
38,no,500,[0.4 0.  0.6],49,7,0.21666666666666667,11.35,0.5509938067973403,11.35
39,no,500,[0.4 0.1 0.5],49,7,0.21666666666666667,11.35,0.5401947708314523,11.35
40,no,500,[0.4 0.2 0.4],49,7,0.21666666666666667,11.35,0.5307629947839922,11.35
41,no,500,[0.4 0.3 0.3],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
42,no,500,[0.4 0.4 0.2],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
43,no,500,[0.4 0.5 0.1],49,7,0.21666666666666667,11.383333333333333,0.5154317426161117,11.383333333333333
44,no,500,[0.4 0.6 0. ],49,7,0.21666666666666667,11.383333333333333,0.5140400891219759,11.383333333333333
45,no,500,[0.5 0.  0.5],49,7,0.21666666666666667,11.35,0.5482592869604845,11.35
46,no,500,[0.5 0.1 0.4],49,7,0.21666666666666667,11.35,0.5388275109130244,11.35
47,no,500,[0.5 0.2 0.3],49,7,0.21666666666666667,11.35,0.5307629947839922,11.35
48,no,500,[0.5 0.3 0.2],49,7,0.21666666666666667,11.383333333333333,0.5342489469171868,11.383333333333333
49,no,500,[0.5 0.4 0.1],49,7,0.21666666666666667,11.383333333333333,0.5207251485447262,11.383333333333333
50,no,500,[0.5 0.5 0. ],49,7,0.21666666666666667,11.383333333333333,0.5140400891219759,11.383333333333333
51,no,500,[0.6 0.  0.4],49,7,0.21666666666666667,11.35,0.5468920270420566,11.35
52,no,500,[0.6 0.1 0.3],49,7,0.21666666666666667,11.35,0.5361393388700139,11.35
53,no,500,[0.6 0.2 0.2],49,7,0.21666666666666667,11.383333333333333,0.5339888012356052,11.383333333333333
54,no,500,[0.6 0.3 0.1],49,7,0.21666666666666667,11.383333333333333,0.5355454654660616,11.383333333333333
55,no,500,[0.6 0.4 0. ],49,7,0.21666666666666667,11.383333333333333,0.522104605251008,11.383333333333333
56,no,500,[0.7 0.  0.3],49,7,0.21666666666666667,11.383333333333333,0.5393651453216265,11.383333333333333
57,no,500,[0.7 0.1 0.2],49,7,0.21666666666666667,11.383333333333333,0.5380442331970439,11.383333333333333
58,no,500,[0.7 0.2 0.1],49,7,0.21666666666666667,11.383333333333333,0.5325971477414694,11.383333333333333
